Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
197,334,651,263,322,365,438,201,250,152
1088,1552,1836,1123,1589,2066,2945,1568,1328,894
21468,28810,6747,23554,10537,1238,4827,914,655,523
1724,1578,4816,2493,2525,2897,3963,1969,2044,1238
1101,1092,2423,607,1349,880,859,336,306,455
14,0,6,20,32,103,205,192,63,46
909,421,1025,743,813,375,1689,468,387,344
27058,19124,60668,28932,41589,69570,51864,28872,17828,39378
663,549,1629,642,844,2090,2810,1565,1224,606
1872,353,2716,718,3135,8651,11022,9078,7398,3255
271,188,495,341,247,269,429,167,126,70
5136,4275,14401,4031,6102,6795,8999,4607,4336,3089
1735,3806,4135,1513,2303,3329,5123,1811,1884,1355
808,653,1466,1058,842,1689,3279,1603,1724,1191
964,1254,2160,1118,869,893,1412,487,558,353
2436,3031,4789,1665,2801,9833,9335,4710,3130,3555
326,444,842,537,430,634,3221,482,646,318
1146,876,2058,641,1337,847,1089,417,412,342
830,1424,1790,924,734,1267,2166,879,888,511
757,618,1072,475,707,614,873,305,304,228
4519,4484,5276,3941,4983,2974,3055,1346,1179,1062
13,15,33,28,24,22,70,20,19,6
3965,1633,3820,2818,1995,1056,1432,858,576,615
1808,2024,2791,1870,2024,1461,2768,1251,1194,922
1645,1230,2637,1262,1674,4788,6638,4124,3226,2645
2815,1033,7194,1713,2830,4854,5916,3272,3091,2516
1093,755,1709,1103,1889,2373,4287,2950,2338,1671
1173,811,1275,1161,905,674,1184,595,352,574
286,1988,1416,240,1470,355,297,148,166,99
2258,2403,5883,1316,2869,3292,4558,1418,1559,1546
48,11,91,12,15,130,8702,177,563,122
57373,197860,121706,21889,58900,39106,53584,21919,21133,21157
231,167,471,185,385,352,591,252,309,167
7854,2131,3591,5032,2692,3796,6360,2494,2738,1983
240,202,1241,427,373,505,1072,455,463,265
2465,2872,8115,3337,4075,4305,7254,2864,2689,1863
8,1,2,3,9,158,211,123,115,12
2680,4933,5714,2242,3232,2827,3537,2569,2631,1208
1057,3226,2454,1267,1419,1003,1488,519,413,474
10646,3013,7109,3562,9115,11838,15388,12364,7448,3430
123,157,223,296,129,25,23,12,16,11
356,633,1401,309,656,3928,7274,2592,2819,1795
1225,1361,1950,1398,1228,1736,2170,1215,940,916
3568,1979,3365,1966,2451,1966,4031,1411,1165,920
24,15,271,89,103,91,150,57,41,42
16302,4951,20293,5690,18161,36729,27455,18018,10146,7161
1454,1464,2963,920,2629,3454,5280,3151,2492,1866
1995,937,2607,3440,2236,1735,2894,1566,1294,808
1776,1884,2981,2479,2397,2576,4119,1962,1944,1257
102,41,153,20,32,167,524,41,98,50
0,0,2,1,4,52,52,16,85,6
21,20,163,21,60,59,98,31,21,12
1046,1039,1786,1559,1448,1448,2607,1287,1049,791
3,0,7,4,11,8,12,3,4,3
151,82,462,69,154,158,2229,118,277,95
5,0,1539,5,15,112,92,82,5,2
377,728,1368,616,691,869,1730,509,495,309
557,828,3264,396,565,509,687,272,362,231
1184,837,1483,409,892,3197,5170,1937,1390,615
2687,4681,2818,1876,3743,1977,3461,1385,1605,972
991,1217,2584,1129,1813,1884,2783,1360,1121,869
814,425,980,766,948,1053,1192,974,557,353
98,569,501,377,217,302,672,174,231,155
564,865,3307,442,1291,351,365,152,177,207
36,241,49,10,40,65,8,22,2,1
