data,time,sex,age,wings,weigh,ELL,PNW,eggs
13.07.90,3,f,2,3,"194,7","10,2","5,0",0
14.07.90,1,f,2,1,"148,9","10,8","5,4",0
14.07.90,1,f,2,1,"252,2","10,6","5,1",0
14.07.90,1,m,3,1,"162,9","10,0","4,4",0
14.07.90,3,f,2,1,"235,1","11,0","5,3",0
15.07.90,1,f,2,1,"257,3","10,9","5,2",0
16.07.90,1,m,3,1,"184,8","10,0","4,8",0
16.07.90,1,f,2,1,"219,0","10,5","4,9",0
16.07.90,1,f,2,1,"282,7","11,3","5,2",0
16.07.90,1,f,4,1,"231,9","10,7","5,3",0
18.07.90,1,f,2,1,"181,8","10,6","5,0",0
18.07.90,1,m,3,1,"173,4","9,4","4,5",0
18.07.90,1,m,3,1,"210,3","10,3","5,0",0
18.07.90,1,m,3,1,"209,4","10,0","5,0",0
18.07.90,3,m,3,1,"198,3","10,2","4,7",0
19.07.90,1,m,3,1,"241,1","10,3","5,0",0
19.07.90,1,m,3,1,"214,0","10,0","4,7",0
19.07.90,3,m,0,0,"0,0","0,0","0,0",0
19.07.90,3,m,3,1,"201,6","10,1","4,8",0
20.07.90,1,f,2,1,"304,3","11,2","5,2",0
20.07.90,1,m,3,1,"131,0","9,0","4,5",0
20.07.90,3,m,3,1,"178,0","10,3","4,7",0
21.07.90,1,m,3,1,"227,1","10,3","4,5",0
21.07.90,1,m,3,1,"201,3","10,0","4,5",0
22.07.90,1,f,2,1,"199,2","10,5","5,0",0
23.07.90,1,f,3,1,"272,3","10,8","5,0",26
23.07.90,3,f,2,1,"199,4","10,6","5,1",0
25.07.90,1,m,3,1,"231,2","9,8","5,2",0
27.07.90,3,f,3,1,"288,3","10,8","5,1",20
28.07.90,1,f,3,1,"260,0","10,3","4,9",10
28.07.90,1,f,3,1,"288,1","10,7","5,3",14
28.07.90,1,f,2,1,"228,1","11,0","5,0",0
28.07.90,1,m,3,1,"191,0","10,1","4,7",0
29.07.90,1,f,3,1,"337,1","11,3","5,0",51
29.07.90,1,m,3,1,"184,5","9,5","4,7",0
30.07.90,1,m,3,1,"189,8","10,2","4,5",0
30.07.90,1,m,3,1,"182,8","9,9","4,4",0
30.07.90,1,m,3,1,"161,2","10,0","4,6",0
30.07.90,3,m,3,1,"179,5","10,5","4,4",0
01.08.90,1,m,3,1,"163,8","9,8","4,4",0
01.08.90,3,m,3,1,"188,0","10,7","4,7",0
01.08.90,3,m,3,1,"147,2","9,2","4,2",0
02.08.90,1,f,3,1,"271,5","10,9","4,8",8
02.08.90,2,m,2,1,"96,7","8,5","3,7",0
02.08.90,3,m,3,1,"159,3","9,6","4,3",0
03.08.90,1,m,3,1,"181,2","10,2","4,5",0
03.08.90,1,m,3,1,"206,4","10,7","4,8",0
03.08.90,1,m,3,1,"195,2","10,1","4,3",0
03.08.90,3,f,3,1,"254,6","10,8","4,8",14
05.08.90,1,f,3,1,"264,2","10,1","4,7",23
05.08.90,1,m,3,1,"188,8","10,1","4,3",0
05.08.90,1,m,3,1,"219,6","10,6","4,9",0
05.08.90,1,m,3,1,"174,2","9,9","4,2",0
05.08.90,3,f,2,1,"276,1","11,4","5,8",0
06.08.90,1,m,3,1,"206,3","10,2","4,7",0
06.08.90,1,m,3,1,"205,6","10,1","4,7",0
06.08.90,1,f,3,1,"201,9","9,4","4,6",17
06.08.90,1,m,2,1,"171,0","10,1","4,7",0
06.08.90,3,m,3,1,"213,4","10,2","5,0",0
07.08.90,2,f,3,1,"268,8","11,5","5,5",9
07.08.90,2,f,3,1,"287,7","10,8","5,2",14
07.08.90,3,f,3,1,"271,3","10,9","5,3",12
07.08.90,3,m,3,1,"210,1","10,2","5,1",0
08.08.90,1,m,3,1,"153,4","9,6","4,5",0
08.08.90,3,f,3,1,"175,4","9,9","4,5",15
